7.75 1.29995 0.014768 9.74981 1.37729 1.29995 -0.0147465 9.74981 8.62285 -1.3 2.88393e-10 40.25 4.9 1.29999 -3.7161e-05 9.74993 5.09978
8 1.29994 0.0140344 10.0748 1.3808 1.29994 -0.0140129 10.0748 8.61935 -1.3 2.85471e-10 39.925 4.9 1.29999 -3.73019e-05 10.0749 5.09977
8.25 1.29994 0.0133385 10.3998 1.38413 1.29994 -0.0133171 10.3998 8.61602 -1.3 2.82526e-10 39.6 4.9 1.29999 -3.74163e-05 10.3999 5.09976
8.5 1.29994 0.0126772 10.7248 1.3873 1.29994 -0.0126559 10.7248 8.61286 -1.3 2.79556e-10 39.275 4.9 1.29999 -3.75049e-05 10.7249 5.09975
8.75 1.29994 0.0120477 11.0498 1.39031 1.29994 -0.0120265 11.0498 8.60985 -1.3 2.76562e-10 38.95 4.9 1.29999 -3.75683e-05 11.0499 5.09974
9 1.29994 0.0114474 11.3747 1.39318 1.29994 -0.0114264 11.3747 8.60699 -1.3 2.73543e-10 38.625 4.9 1.29999 -3.7607e-05 11.3749 5.09973
9.25 1.29993 0.0108741 11.6997 1.39589 1.29993 -0.0108532 11.6997 8.60428 -1.3 2.70498e-10 38.3 4.9 1.29999 -3.76216e-05 11.6999 5.09972
9.5 1.29993 0.0103258 12.0247 1.39848 1.29993 -0.010305 12.0247 8.6017 -1.3 2.67427e-10 37.975 4.9 1.29999 -3.76125e-05 12.0249 5.09971
9.75 1.29993 0.00980047 12.3497 1.40093 1.29993 -0.00977994 12.3497 8.59926 -1.3 2.64331e-10 37.65 4.9 1.29999 -3.75802e-05 12.3499 5.0997
10 1.29993 0.00929662 12.6747 1.40325 1.29993 -0.00927628 12.6747 8.59694 -1.3 2.61207e-10 37.325 4.9 1.29999 -3.75252e-05 12.6749 5.09969
10.25 1.29993 0.00881268 12.9997 1.40545 1.29993 -0.00879256 12.9997 8.59474 -1.3 2.58056e-10 37 4.9 1.29999 -3.74478e-05 12.9999 5.09968
10.5 1.29992 0.00834729 13.3246 1.40754 1.29992 -0.0083274 13.3246 8.59266 -1.3 2.54878e-10 36.675 4.9 1.29999 -3.73485e-05 13.3249 5.09967
10.75 1.29992 0.00789919 13.6496 1.40951 1.29992 -0.00787956 13.6496 8.59069 -1.3 2.51672e-10 36.35 4.9 1.29999 -3.72276e-05 13.6499 5.09967
11 1.29992 0.00746725 13.9746 1.41138 1.29992 -0.00744788 13.9746 8.58883 -1.3 2.48436e-10 36.025 4.9 1.29998 -3.70856e-05 13.9749 5.09966
11.25 1.29992 0.00705041 14.2996 1.41314 1.29992 -0.00703131 14.2996 8.58707 -1.3 2.45172e-10 35.7 4.9 1.29998 -3.69226e-05 14.2999 5.09965
11.5 1.29992 0.00664771 14.6246 1.41481 1.29992 -0.0066289 14.6246 8.58541 -1.3 2.41878e-10 35.375 4.9 1.29998 -3.67392e-05 14.6249 5.09964
11.75 1.29991 0.00625827 14.9495 1.41637 1.29991 -0.00623975 14.9495 8.58385 -1.3 2.38553e-10 35.05 4.9 1.29998 -3.65355e-05 14.9499 5.09963
12 1.29991 0.00588126 15.2745 1.41784 1.29991 -0.00586306 15.2745 8.58239 -1.3 2.35198e-10 34.725 4.9 1.29998 -3.63119e-05 15.2749 5.09962
12.25 1.29991 0.00551593 15.5995 1.41922 1.29991 -0.00549805 15.5995 8.58101 -1.3 2.31812e-10 34.4 4.9 1.29998 -3.60686e-05 15.5999 5.09961
12.5 1.29991 0.00516158 15.9245 1.42051 1.29991 -0.00514404 15.9245 8.57973 -1.3 2.28393e-10 34.075 4.9 1.29998 -3.5806e-05 15.9249 5.0996
12.75 1.2999 0.00481756 16.2494 1.42171 1.2999 -0.00480037 16.2494 8.57853 -1.3 2.24942e-10 33.75 4.9 1.29998 -3.55243e-05 16.2499 5.09959
13 1.2999 0.00448327 16.5744 1.42283 1.2999 -0.00446643 16.5744 8.57741 -1.3 2.21457e-10 33.425 4.9 1.29998 -3.52237e-05 16.5749 5.09958
13.25 1.2999 0.00415813 16.8994 1.42387 1.2999 -0.00414167 16.8994 8.57637 -1.3 2.17939e-10 33.1 4.9 1.29998 -3.49044e-05 16.8998 5.09957
13.5 1.2999 0.00384164 17.2244 1.42483 1.2999 -0.00382555 17.2244 8.57542 -1.3 2.14386e-10 32.775 4.9 1.29998 -3.45668e-05 17.2248 5.09957
13.75 1.29989 0.00353329 17.5493 1.42572 1.29989 -0.00351759 17.5493 8.57454 -1.3 2.10798e-10 32.45 4.9 1.29998 -3.4211e-05 17.5498 5.09956
