0 0 0 0.930622 4.64946 0 0 0.0180797 4.26658 0 0 0.902381 4.82681 0 0 1.16123 4.86313 0 0 0.0892248 4.88478 0 0 1.46245 5.21697 0 0 0.955442 4.33046 0 0 1.58573 5.0268 0 0 1.9979 4.7672 0 0 1.84688 4.08349 0 0 49.7856 4.71945 0 0 49.8027 5.63055 0 0 49.2968 4.14304 0 0 48.8535 5.40546 0 0 48.4421 5.0602 0 0 48.1595 4.8204 0 0 48.8707 4.89908 0 0 49.997 4.26079 0 0 49.2204 4.55188 0 0 48.2815 5.01464
0.25 0.401338 -0.225506 1.03096 4.59308 0.415124 -0.16729 0.121861 4.22476 0.208337 0.297173 0.954466 4.90111 0.634022 0.110516 1.31973 4.89076 0.382503 0.118549 0.184851 4.91441 0.785197 0.640522 1.65874 5.3771 0.514035 -0.499933 1.08395 4.20547 0.935049 0.198422 1.81949 5.0764 1.17737 -0.192019 2.29224 4.7192 0.882142 -0.344629 2.06742 3.99733 -0.353648 0.102086 49.6972 4.74497 -0.490102 0.158701 49.6802 5.67023 -0.683675 -0.463025 49.1258 4.02728 -0.554016 0.54806 48.715 5.54247 -0.734517 0.103178 48.2585 5.08599 -1.09568 -0.364539 47.8856 4.72926 -0.631133 0.0449008 48.7129 4.9103 -0.391719 -0.195614 49.8991 4.21189 -0.677841 -0.0184802 49.0509 4.54726 -0.911887 -0.00477042 48.0536 5.01345
0.5 0.769671 -0.315623 1.22337 4.51417 0.687306 -0.213713 0.293687 4.17133 0.478489 0.437243 1.07409 5.01042 1.02956 0.125723 1.57713 4.92219 0.652075 0.137925 0.347869 4.94889 1.13823 0.849753 1.9433 5.58954 0.860347 -0.610379 1.29904 4.05288 1.38976 0.265043 2.16693 5.14266 1.64714 -0.285883 2.70403 4.64773 1.3158 -0.422359 2.39637 3.89174 -0.634575 0.12783 49.5385 4.77693 -0.770733 0.194707 49.4875 5.7189 -1.05637 -0.598843 48.8617 3.87757 -0.945221 0.699992 48.4787 5.71747 -1.09552 0.165465 47.9846 5.12736 -1.57372 -0.545138 47.4922 4.59298 -1.04156 0.113558 48.4526 4.93869 -0.669633 -0.250804 49.7317 4.14919 -1.0728 -0.0210994 48.7827 4.54198 -1.33507 -0.0532603 47.7198 5.00013
0.75 1.04154 -0.303806 1.48376 4.43822 0.870566 -0.201848 0.511328 4.12087 0.771342 0.453863 1.26692 5.12388 1.27645 0.0789665 1.89624 4.94193 0.839274 0.11335 0.557688 4.97723 1.2802 0.781089 2.26335 5.78481 1.08463 -0.56566 1.57019 3.91146 1.60479 0.259353 2.56812 5.2075 1.78502 -0.29469 3.15028 4.57406 1.50627 -0.391407 2.77294 3.79389 -0.841166 0.109498 49.3282 4.8043 -0.936474 0.176105 49.2534 5.76293 -1.24475 -0.563227 48.5506 3.73677 -1.19549 0.678524 48.1798 5.8871 -1.31123 0.199416 47.6568 5.17721 -1.73839 -0.580323 47.0576 4.4479 -1.27585 0.167511 48.1336 4.98057 -0.862497 -0.247485 49.5161 4.08731 -1.29237 -0.0233616 48.4596 4.53614 -1.56117 -0.122183 47.3295 4.96959
1 1.20501 -0.236863 1.78501 4.37901 0.995145 -0.167262 0.760115 4.07906 1.00952 0.419681 1.5193 5.2288 1.41575 0.0190104 2.25018 4.94668 0.967098 0.0776765 0.799462 4.99665 1.33194 0.617315 2.59634 5.93914 1.21744 -0.481835 1.87455 3.791 1.69304 0.225063 2.99138 5.26377 1.78576 -0.263062 3.59672 4.50829 1.57149 -0.333501 3.16581 3.71051 -0.984149 0.0743197 49.0822 4.82288 -1.03953 0.141032 48.9935 5.79819 -1.3302 -0.467285 48.218 3.61994 -1.33262 0.605866 47.8467 6.03857 -1.4511 0.213653 47.294 5.23063 -1.74519 -0.526204 46.6213 4.31635 -1.39333 0.205128 47.7853 5.03185 -0.992232 -0.224368 49.268 4.03122 -1.40471 -0.022842 48.1085 4.53043 -1.70768 -0.194437 46.9026 4.92098
1.25 1.29074 -0.161836 2.1077 4.33855 1.07919 -0.129527 1.02991 4.04668 1.16944 0.375555 1.81166 5.32269 1.48294 -0.0254838 2.62091 4.94031 1.05342 0.0455333 1.06282 5.00803 1.34954 0.45675 2.93372 6.05333 1.28945 -0.39955 2.19692 3.69112 1.71581 0.182542 3.42034 5.3094 1.74035 -0.221128 4.03181 4.45301 1.57709 -0.27874 3.56008 3.64083 -1.07984 0.0380894 48.8122 4.83241 -1.1065 0.106422 48.7169 5.82479 -1.36347 -0.367712 47.8771 3.52802 -1.39216 0.52723 47.4987 6.17038 -1.54522 0.208529 46.9077 5.28276 -1.69052 -0.444858 46.1986 4.20513 -1.44368 0.228206 47.4243 5.0889 -1.07768 -0.19824 48.9986 3.98166 -1.45504 -0.0182696 47.7447 4.52586 -1.79128 -0.255172 46.4548 4.85719
1.5 1.33045 -0.100922 2.44031 4.31332 1.1355 -0.0971954 1.31379 4.02238 1.26275 0.333438 2.12735 5.40605 1.50766 -0.0470525 2.99782 4.92855 1.11149 0.0210118 1.34069 5.01329 1.35621 0.330081 3.27278 6.13585 1.32502 -0.328865 2.52817 3.6089 1.70731 0.140599 3.84716 5.34455 1.68679 -0.182918 4.45351 4.40728 1.55777 -0.234865 3.94952 3.58211 -1.14313 0.00741688 48.5264 4.83426 -1.15122 0.0775752 48.4291 5.84419 -1.3726 -0.284622 47.534 3.45686 -1.40721 0.456128 47.1469 6.28441 -1.60914 0.185436 46.5054 5.32912 -1.62342 -0.37167 45.7928 4.11222 -1.45919 0.237716 47.0595 5.14833 -1.13351 -0.175207 48.7152 3.93786 -1.47187 -0.0104294 47.3767 4.52326 -1.80163 -0.281613 46.0044 4.78678
1.75 1.34553 -0.0583229 2.77669 4.29874 1.17333 -0.0724355 1.60712 4.00427 1.31023 0.295189 2.45491 5.47985 1.5113 -0.0500982 3.37565 4.91603 1.15065 0.00375693 1.62835 5.01423 1.36064 0.238481 3.61293 6.19547 1.34042 -0.270509 2.86328 3.54127 1.68623 0.103665 4.26872 5.37047 1.63848 -0.152863 4.86313 4.36906 1.53073 -0.201708 4.33221 3.53169 -1.18516 -0.0161503 48.2302 4.83022 -1.18162 0.0549049 48.1337 5.85791 -1.37163 -0.221064 47.1911 3.4016 -1.40112 0.396085 46.7966 6.38343 -1.64988 0.150859 46.0929 5.36683 -1.56211 -0.316648 45.4022 4.03305 -1.45753 0.236012 46.6952 5.20734 -1.17011 -0.156683 48.4227 3.89869 -1.47176 -0.000940791 47.0088 4.52302 -1.75674 -0.267673 45.5652 4.71986
2 1.34858 -0.030831 3.11384 4.29103 1.19904 -0.0546088 1.90688 3.99062 1.33003 0.260897 2.78742 5.54507 1.50682 -0.0425757 3.75235 4.90538 1.17728 -0.00787052 1.92267 5.01226 1.36554 0.174428 3.95432 6.23908 1.34541 -0.22293 3.19963 3.48554 1.66203 0.0737173 4.68423 5.3889 1.59864 -0.130997 5.26279 4.33631 1.50367 -0.177022 4.70812 3.48743 -1.2135 -0.0332638 47.9268 4.82191 -1.20267 0.0373309 47.833 5.86725 -1.36712 -0.174108 46.8493 3.35807 -1.38733 0.347061 46.4497 6.4702 -1.67097 0.112164 45.6752 5.39488 -1.51087 -0.277371 45.0245 3.96371 -1.44808 0.226853 46.3331 5.26405 -1.19441 -0.142311 48.1241 3.86311 -1.46378 0.00879005 46.6428 4.52522 -1.68716 -0.227123 45.1434 4.66308
2.25 1.34651 -0.0137248 3.45047 4.2876 1.21689 -0.042237 2.2111 3.98006 1.3348 0.230624 3.12112 5.60273 1.50061 -0.0313527 4.1275 4.89754 1.19561 -0.015531 2.22157 5.00838 1.37131 0.129737 4.29715 6.27151 1.34541 -0.184247 3.53598 3.43948 1.63894 0.0509028 5.09396 5.40163 1.56678 -0.115817 5.65448 4.30736 1.47955 -0.158507 5.07801 3.4478 -1.2331 -0.0452603 47.6185 4.81059 -1.21754 0.0236004 47.5286 5.87315 -1.36188 -0.139671 46.5088 3.32315 -1.37244 0.307705 46.1066 6.54712 -1.67494 0.0747902 45.2565 5.41357 -1.46948 -0.248155 44.6572 3.90167 -1.43592 0.213872 45.9742 5.31752 -1.2109 -0.131244 47.8213 3.8303 -1.4527 0.0178853 46.2797 4.52969 -1.61634 -0.177636 44.7393 4.61867
