0 0 0 0.862725 4.92129 0 0 0.130663 5.07994 0 0 0.896227 5.24698 0 0 0.576111 5.04253 0 0 1.16598 5.89793 0 0 0.495939 5.34998 0 0 0.246993 5.34002 0 0 1.15243 4.323 0 0 0.0196917 4.62113 0 0 0.568001 5.54831
0.25 1.15459 -0.488746 1.15137 4.79911 0.0213768 -0.206445 0.136007 5.02832 1.25103 0.0545749 1.20898 5.26063 0.841916 -0.370422 0.78659 4.94993 0.908183 0.403857 1.39303 5.99889 0.677256 0.200511 0.665253 5.40011 0.222635 0.248947 0.302651 5.40225 0.823426 -0.457797 1.35829 4.20855 0.377822 -0.376049 0.114147 4.52711 0.602932 0.566226 0.718734 5.68986
0.5 1.60788 -0.578618 1.55334 4.65445 0.283666 -0.212373 0.206924 4.97523 1.79009 0.0506452 1.65651 5.27329 1.32101 -0.476663 1.11684 4.83076 1.31522 0.480207 1.72183 6.11894 1.14099 0.154786 0.950501 5.43881 0.518621 0.323638 0.432307 5.48316 1.12458 -0.602982 1.63944 4.0578 0.692084 -0.46094 0.287168 4.41188 0.941862 0.689492 0.9542 5.86224
0.75 1.7407 -0.466442 1.98852 4.53784 0.562716 -0.146352 0.347603 4.93864 1.93009 0.0539361 2.13903 5.28677 1.50179 -0.423322 1.49229 4.72493 1.493 0.421834 2.09508 6.2244 1.4168 0.0504012 1.3047 5.45141 0.764266 0.316942 0.623373 5.5624 1.22118 -0.577118 1.94473 3.91352 0.918517 -0.437668 0.516798 4.30246 1.1541 0.64732 1.24272 6.02407
1 1.78008 -0.323626 2.43354 4.45694 0.77655 -0.0845985 0.54174 4.91749 1.90232 0.0582572 2.61461 5.30134 1.52567 -0.321671 1.87371 4.64451 1.56007 0.335685 2.4851 6.30832 1.54029 -0.0272251 1.68978 5.4446 0.93849 0.279418 0.857996 5.63225 1.25206 -0.49169 2.25774 3.7906 1.06729 -0.381033 0.783621 4.2072 1.27843 0.551788 1.56233 6.16201
1.25 1.79473 -0.21437 2.88222 4.40334 0.923923 -0.0448063 0.772721 4.90629 1.82634 0.0576755 3.07119 5.31575 1.49562 -0.229574 2.24761 4.58712 1.5733 0.25731 2.87843 6.37265 1.56507 -0.0616183 2.08104 5.4292 1.05424 0.237047 1.12155 5.69152 1.26526 -0.39791 2.57406 3.69112 1.16019 -0.320482 1.07367 4.12708 1.34462 0.451387 1.89849 6.27486
1.5 1.79254 -0.145732 3.33035 4.36691 1.0219 -0.0232028 1.0282 4.90049 1.74789 0.0532342 3.50817 5.32906 1.45801 -0.162449 2.61212 4.54651 1.56238 0.194678 3.26902 6.42132 1.54098 -0.0653225 2.46629 5.41287 1.12909 0.199728 1.40383 5.74145 1.27456 -0.315778 2.8927 3.61218 1.21668 -0.266658 1.37784 4.06042 1.37618 0.3645 2.24253 6.36598
1.75 1.77205 -0.107358 3.77337 4.34007 1.08662 -0.0128339 1.29985 4.89728 1.6803 0.0468596 3.92824 5.34078 1.42721 -0.118071 2.96892 4.51699 1.54267 0.147123 3.65469 6.4581 1.5007 -0.0540747 2.84146 5.39935 1.17725 0.169601 1.69814 5.78385 1.2827 -0.250619 3.21337 3.54952 1.25064 -0.222283 1.6905 4.00485 1.38886 0.295223 2.58975 6.43979
2 1.73683 -0.0876148 4.20757 4.31817 1.12979 -0.00847725 1.5823 4.89516 1.62541 0.039716 4.33459 5.35071 1.40495 -0.0898743 3.32016 4.49452 1.52152 0.111776 4.03507 6.48604 1.46061 -0.0383443 3.20661 5.38976 1.20849 0.145953 2.00026 5.82034 1.28976 -0.201392 3.53581 3.49918 1.27106 -0.186905 2.00826 3.95812 1.39197 0.24193 2.93774 6.50027
2.25 1.69394 -0.0779018 4.63106 4.29869 1.15921 -0.00700278 1.8721 4.89341 1.58171 0.0324282 4.73002 5.35881 1.38951 -0.0719015 3.66753 4.47655 1.50198 0.0856442 4.41057 6.50745 1.42684 -0.0233912 3.56332 5.38391 1.22915 0.12739 2.30755 5.85218 1.29558 -0.164962 3.85971 3.45794 1.28347 -0.15903 2.32913 3.91836 1.39062 0.20138 3.28539 6.55062
2.5 1.64993 -0.0729245 5.04354 4.28046 1.17984 -0.00674299 2.16706 4.89173 1.54705 0.0253712 5.11678 5.36516 1.3788 -0.0599619 4.01223 4.46156 1.485 0.0662251 4.78182 6.52401 1.40049 -0.011213 3.91344 5.38111 1.24316 0.112617 2.61834 5.88034 1.30018 -0.138054 4.18475 3.42342 1.29114 -0.137039 2.65191 3.8841 1.38742 0.1704 3.63225 6.59322
2.75 1.60898 -0.069848 5.44579 4.263 1.19479 -0.00688805 2.46576 4.89 1.51942 0.018786 5.49664 5.36985 1.37124 -0.051461 4.35504 4.44869 1.47057 0.0516118 5.14946 6.53691 1.38066 -0.00214515 4.25861 5.38057 1.25298 0.100629 2.93158 5.90549 1.30373 -0.117953 4.51068 3.39393 1.29601 -0.119528 2.97592 3.85422 1.38365 0.146409 3.97816 6.62982
3 1.57304 -0.0673543 5.83904 4.24616 1.20601 -0.00708408 2.76726 4.88823 1.4972 0.0128142 5.87094 5.37306 1.36576 -0.0449234 4.69648 4.43746 1.45839 0.0404206 5.51406 6.54702 1.36594 0.0041789 4.60009 5.38162 1.26009 0.0907031 3.24661 5.92817 1.30643 -0.102626 4.83729 3.36828 1.29919 -0.105387 3.30071 3.82788 1.37988 0.127476 4.32313 6.66169
3.25 1.5425 -0.064936 6.22467 4.22993 1.21471 -0.00720141 3.07094 4.88643 1.47911 0.00751798 6.24072 5.37494 1.36166 -0.0395634 5.0369 4.42757 1.44804 0.0316742 5.87607 6.55494 1.35499 0.00833377 4.93884 5.3837 1.26543 0.0823284 3.56297 5.94875 1.30849 -0.0906336 5.16441 3.34562 1.30136 -0.0937777 3.62605 3.80443 1.37634 0.11221 4.66722 6.68974
